ID,Status,PeakPower(W),MachineTemp,TempUnits,WindSpeed,SpeedUnits,MeasureDate,MeasureTime,Region
WWS-S1005,Active,1054446,70.02,C,24.29,KMPH,2/1/2021,15:19:45,ANZ
WWS-S1005,Active,1186479,65.26,C,17.15,KMPH,5/1/2021,1:20:14,EMEA
WWS-S1005,Active,1211182,82.86,C,16.55,KMPH,5/1/2021,13:17:04,LATAM
WWS-S1003,Offline,1204164,74.34,C,18.84,KMPH,5/1/2021,0:16:03,LATAM
WWS-S1008,Active,1204365,75.51,C,17.07,KMPH,7/1/2021,23:19:13,APAC
WWS-S1007,Offline,1120229,75.34,C,22.66,KMPH,1/1/2021,0:40:33,EMEA
WWS-S1007,Offline,1049693,73.5,C,20.85,KMPH,7/1/2021,10:14:32,LATAM
WWS-S1006,Active,1060670,84.36,C,17.43,KMPH,5/1/2021,21:01:37,APAC
WWS-S1008,Active,1138179,77.67,C,24.73,KMPH,5/1/2021,23:34:44,NORTHAM
WWS-S1005,Offline,1222267,73.55,C,15.42,KMPH,3/1/2021,2:36:29,NORTHAM
WWS-S1002,Active,1153155,76.71,C,15.82,KMPH,7/1/2021,5:24:20,LATAM
WWS-S1000,Active,1044364,76.53,C,24.21,KMPH,5/1/2021,5:33:57,NORTHAM
WWS-S1002,Offline,1001007,75.31,C,22.59,KMPH,5/1/2021,1:04:21,LATAM
WWS-S1007,Active,1118199,84.77,C,24.54,KMPH,3/1/2021,5:57:37,LATAM
WWS-S1003,Offline,1010637,84.76,C,18.44,KMPH,6/1/2021,2:31:03,ANZ
WWS-S1005,Active,1194195,81.55,C,24.7,KMPH,6/1/2021,2:41:10,APAC
WWS-S1009,Active,1223166,71.17,C,19.88,KMPH,6/1/2021,15:38:09,ANZ
WWS-S1005,Offline,1228362,65.23,C,15.33,KMPH,5/1/2021,8:58:29,EMEA
WWS-S1005,Active,1209767,75.97,C,19.79,KMPH,4/1/2021,20:53:16,APAC
WWS-S1008,Active,1247063,69.24,C,16.35,KMPH,7/1/2021,15:54:35,APAC
WWS-S1008,Active,1030892,81.23,C,16.28,KMPH,4/1/2021,4:10:35,NORTHAM
WWS-S1002,Active,1055345,77.86,C,19.85,KMPH,3/1/2021,18:56:37,APAC
WWS-S1000,Active,1218006,70.21,C,19.08,KMPH,1/1/2021,22:59:26,EMEA
WWS-S1009,Active,1200300,78.82,C,20.71,KMPH,5/1/2021,10:12:50,LATAM
WWS-S1006,Active,1030863,78.6,C,23.2,KMPH,3/1/2021,4:43:47,LATAM
WWS-S1001,Active,1032238,73.76,C,21.4,KMPH,6/1/2021,0:28:15,EMEA
WWS-S1006,Active,1210924,80.48,C,22.92,KMPH,7/1/2021,19:12:43,LATAM
WWS-S1008,Active,1213542,84.4,C,23.99,KMPH,2/1/2021,21:21:46,APAC
WWS-S1009,Active,1248592,68.78,C,15.02,KMPH,5/1/2021,1:56:13,LATAM
WWS-S1001,Active,1182084,69.3,C,19.29,KMPH,6/1/2021,5:59:16,APAC
WWS-S1009,Active,1020502,75.39,C,17.8,KMPH,7/1/2021,13:50:17,LATAM
WWS-S1006,Active,1132780,83.78,C,20.85,KMPH,7/1/2021,12:34:40,EMEA
WWS-S1008,Active,1074201,71.44,C,20.84,KMPH,4/1/2021,9:57:20,EMEA
WWS-S1004,Active,1225248,66.49,C,21.85,KMPH,3/1/2021,14:45:14,NORTHAM
WWS-S1007,Active,1027167,68.29,C,24.48,KMPH,5/1/2021,0:10:26,NORTHAM
WWS-S1005,Active,1113747,79.69,C,16.27,KMPH,7/1/2021,2:12:39,ANZ
WWS-S1007,Offline,1111696,67.13,C,16.64,KMPH,6/1/2021,23:31:07,APAC
WWS-S1006,Offline,1243928,84.56,C,21.89,KMPH,1/1/2021,17:03:32,LATAM
WWS-S1002,Active,1217056,76.6,C,23.48,KMPH,4/1/2021,19:13:15,ANZ
WWS-S1000,Active,1099843,79.84,C,24.26,KMPH,4/1/2021,7:07:06,LATAM
WWS-S1003,Active,1030230,83.91,C,21.18,KMPH,5/1/2021,18:54:11,EMEA
